,cep,A,B,C,D,E
708,46700000,0,0,0,0,68
709,8584210,0,0,0,0,2
710,59194000,0,0,0,0,53
711,79420000,0,0,0,0,177
712,73563536,0,0,0,2,177
713,71882154,0,0,0,0,2
714,7943020,0,0,0,0,2
715,57975000,0,0,0,0,116
716,79012550,0,0,0,0,2
717,68908280,0,0,0,0,5
718,60441145,0,0,0,0,9
719,82900210,0,0,0,0,3
720,44798000,0,0,0,0,172
721,89063003,0,0,0,0,4
722,37177000,0,0,0,0,210
723,60320504,0,0,0,0,2
724,68165000,0,0,0,0,151
725,15675051,0,0,2,0,151
726,73805160,0,0,0,0,3
727,95630000,0,0,0,0,245
728,30431191,0,0,0,0,3
729,11614437,0,0,0,0,2
730,21292792,0,0,0,0,2
731,56400000,0,0,0,0,264
732,41315250,0,0,0,0,4
733,65400000,0,0,0,0,570
734,13905290,0,0,0,0,2
735,32961677,0,0,0,0,2
736,85603020,0,0,0,0,3
737,14630062,0,0,0,2,3
738,14540000,0,0,0,0,174
739,13328027,0,0,0,0,2
740,53525299,0,0,0,0,2
741,28993000,0,0,0,0,18
742,89670000,0,0,0,0,22
743,48350000,0,0,0,0,58
744,59173000,0,0,0,0,115
745,78390000,0,0,0,0,233
746,2734000,0,0,0,0,16
747,72872348,0,0,0,0,2
748,18570000,0,0,0,0,93
749,4851340,0,0,0,0,7
750,62184000,0,0,0,76,7
751,16685575,0,0,0,0,2
752,68515000,0,0,0,228,616
753,19990000,0,0,0,0,5
754,16958447,0,0,0,0,2
755,89262727,0,0,0,2,2
756,14680000,0,0,0,0,114
757,8633305,0,0,0,0,2
758,18051000,0,0,0,0,6
759,39270000,0,0,0,0,210
760,45700000,0,0,0,0,488
761,68330000,0,0,0,0,149
762,89818000,0,0,0,3,149
763,65130000,0,0,0,0,236
764,76890000,0,0,0,0,366
765,62650000,0,0,0,0,149
766,69195000,0,0,0,5,139
767,90830570,0,0,0,0,2
768,87500000,0,0,0,0,4
769,32672758,0,0,0,0,2
770,62930000,0,0,0,0,493
771,47740000,0,0,0,0,102
772,15755000,0,0,0,0,28
773,48415000,0,0,0,0,318
774,27570000,0,0,0,0,82
775,76916000,0,0,0,0,362
776,5888110,0,0,0,0,3
777,36600000,8,0,0,0,3
778,89254759,0,0,0,0,2
779,50940510,0,0,0,0,7
780,66000000,0,0,0,0,87
781,36610000,0,0,0,10,87
782,44573280,0,0,0,4,87
783,81910510,0,0,0,0,3
784,60812750,0,0,0,0,5
785,39555000,0,0,0,0,64
786,87660000,0,0,0,0,40
787,17290000,0,0,0,0,65
788,29027422,0,0,0,0,3
789,62380000,0,0,0,0,675
790,6463350,0,0,0,0,5
791,44900000,0,0,0,0,363
792,64855000,0,0,0,0,48
793,79430000,0,0,0,0,51
794,68903026,0,0,0,0,3
795,67170692,0,0,0,0,2
796,75855000,0,0,0,0,33
797,53010210,0,0,0,0,8
798,8141630,0,0,0,4,8
799,33015630,0,0,0,0,3
800,68071574,0,0,0,3,3
801,150,2,0,0,0,3
802,68552230,0,0,0,4,3
803,49930000,0,0,0,0,59
804,45780000,0,0,0,0,43
805,95900832,0,0,0,0,2
806,48903426,0,0,0,0,2
807,46780000,0,0,0,0,169
808,76820143,0,0,0,0,4
809,18025952,0,0,0,0,2
810,79080110,0,0,0,2,2
811,62320000,0,0,0,0,443
812,73900000,0,0,0,0,227
813,20751140,0,0,0,0,5
814,44200000,0,0,0,0,304
815,46360000,0,0,0,0,202
816,35700066,0,0,0,0,2
817,52111430,0,0,0,0,14
818,4403210,0,0,0,0,6
819,13990000,0,0,0,0,149
820,89040470,0,0,0,0,2
821,65030420,0,0,0,0,3
822,35030070,0,0,0,0,8
823,29025690,0,0,0,0,2
824,69067780,0,0,0,3,2
825,18690000,0,0,0,0,50
826,30690010,0,0,0,0,3
827,68240000,0,0,0,10,3
828,78535000,0,0,0,0,90
829,39665000,0,0,0,0,173
830,46130000,0,0,0,0,272
831,26445271,0,0,0,0,2
832,29146200,0,0,0,0,12
833,82864663,0,0,0,4,12
834,12334938,0,0,0,0,2
835,58255000,0,0,0,0,274
836,47830000,0,0,0,0,106
837,93800000,0,0,0,0,270
838,28907020,0,0,0,0,4
839,17645428,0,0,0,0,2
840,44610000,0,0,0,0,75
841,7151010,0,0,0,0,9
842,13161389,0,0,0,0,2
843,72225084,0,0,0,0,4
844,57,3,0,0,0,4
845,10533509,0,0,0,0,2
846,17137181,0,0,0,0,9
847,57306755,0,0,0,0,5
848,68062728,0,0,0,0,3
849,18062792,0,0,0,0,2
850,23060720,0,0,0,0,3
851,78700220,0,0,0,0,7
852,41110290,0,0,0,0,3
853,64753000,0,0,0,0,67
854,94110150,0,0,0,0,2
855,2467060,0,0,0,0,2
856,75640000,0,0,0,0,62
857,32017300,0,0,0,0,2
858,11701140,0,0,0,0,4
859,40140260,0,0,0,0,4
860,45320000,0,0,0,0,156
861,65370000,0,0,0,0,172
862,13493249,0,0,0,0,2
863,45810000,0,0,0,0,573
864,93520600,0,0,0,0,2
865,79540000,0,0,0,0,159
866,3152240,0,0,2,0,159
867,13010902,0,0,2,0,159
868,66630490,0,0,0,0,2
869,37145000,0,0,0,0,65
870,15480000,0,0,0,0,25
